gt,est,diff,img_fn,kp_fn,removed
"[-2.97201805e+03  7.55734143e+01  1.13193276e+02 -1.45009088e-01
 -7.08558816e-02  0.00000000e+00]","[-2.93596644e+03  6.84828243e+01  1.10497006e+02 -1.41447540e-01
 -7.14323477e-02 -2.60517052e-03]",36.841075558520124,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00000.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00000_kp.png,False
"[-2.97201805e+03  7.55734143e+01  1.13193276e+02 -1.45009088e-01
 -7.08558816e-02  0.00000000e+00]","[-2.93596644e+03  6.84828243e+01  1.10497006e+02 -1.41447540e-01
 -7.14323477e-02 -2.60517052e-03]",36.841075558520124,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00001.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00001_kp.png,False
"[-2.55796422e+03 -7.13381358e+01  8.88827668e+01  1.69220494e-02
 -7.49965365e-02  0.00000000e+00]","[-2.50661219e+03 -6.10642493e+01  8.27401065e+01  1.13420210e-02
 -7.73280050e-02 -1.83321338e-03]",52.72869847037926,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00002.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00002_kp.png,False
"[-2.55796422e+03 -7.13381358e+01  8.88827668e+01  1.69220494e-02
 -7.49965365e-02  0.00000000e+00]","[-2.50661219e+03 -6.10642493e+01  8.27401065e+01  1.13420210e-02
 -7.73280050e-02 -1.83321338e-03]",52.72869847037926,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00003.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00003_kp.png,False
"[-2.18740389e+03 -4.32640461e+01  6.94248247e+01 -7.14766385e-02
 -5.38953302e-02  0.00000000e+00]","[-2.35973215e+03 -2.44311731e+01  9.97508866e+01 -7.89693862e-02
 -4.85058652e-02 -1.15319454e-01]",175.98685668124438,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00004.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00004_kp.png,False
"[-2.18740389e+03 -4.32640461e+01  6.94248247e+01 -7.14766385e-02
 -5.38953302e-02  0.00000000e+00]","[-2.35973215e+03 -2.44311731e+01  9.97508866e+01 -7.89693862e-02
 -4.85058652e-02 -1.15319454e-01]",175.98685668124438,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00005.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00005_kp.png,False
"[-2.98158377e+03 -6.04857175e+01  1.15014923e+02 -1.54136511e-01
 -9.37362376e-02  0.00000000e+00]","[-2.94983641e+03 -6.15321589e+01  1.11148066e+02 -1.54012875e-01
 -9.32499593e-02  8.46333366e-03]",31.99909969824701,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00006.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00006_kp.png,False
"[-2.98158377e+03 -6.04857175e+01  1.15014923e+02 -1.54136511e-01
 -9.37362376e-02  0.00000000e+00]","[-2.94983641e+03 -6.15321589e+01  1.11148066e+02 -1.54012875e-01
 -9.32499593e-02  8.46333366e-03]",31.99909969824701,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00007.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00007_kp.png,False
"[-2.31267446e+03  2.56654903e+01  8.01924372e+01  3.52894637e-02
 -1.17993173e-01  0.00000000e+00]","[-3.03230108e+03  1.37055867e+02  1.27637843e+02 -1.73438912e-02
 -1.02789843e-01 -3.33650676e-02]",729.7406118610405,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00008.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00008_kp.png,False
"[-2.31267446e+03  2.56654903e+01  8.01924372e+01  3.52894637e-02
 -1.17993173e-01  0.00000000e+00]","[-3.03230108e+03  1.37055867e+02  1.27637843e+02 -1.73438912e-02
 -1.02789843e-01 -3.33650676e-02]",729.7406118610405,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00009.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00009_kp.png,False
"[-2.98132493e+03  8.04217016e+00  1.16762234e+02  1.65773756e-02
 -1.15144032e-01  0.00000000e+00]","[-2.93563169e+03 -8.80242739e+00  7.57620075e+01  2.30385529e-02
 -1.38020891e-01  1.82528708e-02]",63.66028263812843,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00010.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00010_kp.png,False
"[-2.98132493e+03  8.04217016e+00  1.16762234e+02  1.65773756e-02
 -1.15144032e-01  0.00000000e+00]","[-2.93563169e+03 -8.80242739e+00  7.57620075e+01  2.30385529e-02
 -1.38020891e-01  1.82528708e-02]",63.66028263812843,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00011.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00011_kp.png,False
"[-2.66559723e+03  5.82742637e+01  9.30101294e+01 -2.63366201e-02
 -1.19803422e-01  0.00000000e+00]","[-2.75364390e+03  2.55046770e+01  4.44820412e+01 -2.86498833e-03
 -1.55540753e-01  2.02365457e-03]",105.74042293800049,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00012.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00012_kp.png,False
"[-2.66559723e+03  5.82742637e+01  9.30101294e+01 -2.63366201e-02
 -1.19803422e-01  0.00000000e+00]","[-2.75364390e+03  2.55046770e+01  4.44820412e+01 -2.86498833e-03
 -1.55540753e-01  2.02365457e-03]",105.74042293800049,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00013.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00013_kp.png,False
"[-2.46541580e+03  5.81104369e+01  8.06608747e+01  1.22144195e-01
 -1.28231933e-01  0.00000000e+00]","[-3.10488211e+03 -8.47729866e+00  5.84931142e+01  1.09658057e-01
 -1.86143449e-01  2.85266292e-01]",643.3059096050521,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00014.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00014_kp.png,False
"[-2.46541580e+03  5.81104369e+01  8.06608747e+01  1.22144195e-01
 -1.28231933e-01  0.00000000e+00]","[-3.10488211e+03 -8.47729866e+00  5.84931142e+01  1.09658057e-01
 -1.86143449e-01  2.85266292e-01]",643.3059096050521,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00015.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00015_kp.png,False
"[-2.22849566e+03  3.84722060e+01  6.00473894e+01 -5.78279864e-02
 -9.01855192e-02  0.00000000e+00]","[-2.18700209e+03  2.89251904e+01  5.82929068e+01 -5.27649816e-02
 -8.93766940e-02  2.18810885e-02]",42.613849170957884,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00016.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00016_kp.png,False
"[-2.22849566e+03  3.84722060e+01  6.00473894e+01 -5.78279864e-02
 -9.01855192e-02  0.00000000e+00]","[-2.18700209e+03  2.89251904e+01  5.82929068e+01 -5.27649816e-02
 -8.93766940e-02  2.18810885e-02]",42.613849170957884,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00017.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00017_kp.png,False
"[-2.52668407e+03 -2.42704309e+01  9.27173125e+01  1.29661883e-02
 -1.07420935e-01  0.00000000e+00]","[-2.50900965e+03 -6.59291374e+00  6.06648057e+01  3.92425205e-03
 -1.31561908e-01 -2.70551870e-02]",40.647790264186,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00018.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00018_kp.png,False
"[-2.52668407e+03 -2.42704309e+01  9.27173125e+01  1.29661883e-02
 -1.07420935e-01  0.00000000e+00]","[-2.50900965e+03 -6.59291374e+00  6.06648057e+01  3.92425205e-03
 -1.31561908e-01 -2.70551870e-02]",40.647790264186,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00019.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00019_kp.png,False
"[-2.65606706e+03 -2.83765001e+01  8.69914877e+01  3.88914353e-02
 -1.23362169e-01  0.00000000e+00]","[-2.62096347e+03 -2.34899281e+00  4.09451642e+01  2.02330619e-02
 -1.55433434e-01  1.17341322e-03]",63.481942028698036,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00020.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00020_kp.png,False
"[-2.65606706e+03 -2.83765001e+01  8.69914877e+01  3.88914353e-02
 -1.23362169e-01  0.00000000e+00]","[-2.62096347e+03 -2.34899281e+00  4.09451642e+01  2.02330619e-02
 -1.55433434e-01  1.17341322e-03]",63.481942028698036,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00021.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00021_kp.png,False
"[-2.26292835e+03  1.82178576e+01  7.76199287e+01 -9.40245261e-02
 -7.90286741e-02  0.00000000e+00]","[-2.21297055e+03  8.18398615e+00  7.35136532e+01 -8.82270563e-02
 -7.77484859e-02  2.48789589e-02]",51.12065836713146,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00022.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00022_kp.png,False
"[-2.26292835e+03  1.82178576e+01  7.76199287e+01 -9.40245261e-02
 -7.90286741e-02  0.00000000e+00]","[-2.21297055e+03  8.18398615e+00  7.35136532e+01 -8.82270563e-02
 -7.77484859e-02  2.48789589e-02]",51.12065836713146,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00023.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00023_kp.png,False
